Ranking,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Ints,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotalTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank

215,Chuba Hubbard,CAR,RB,23,11,1,0,0,0,0,0,55,250,4.55,2,10,8,61,7.63,0,1,1,2,,,41,49.1,53.1,45.1,,60,

216,Terrace Marshall Jr.,CAR,WR,22,10,6,0,0,0,0,0,0,0,,0,35,19,346,18.21,1,0,0,1,,,41,59.6,62.6,50.1,,88,

217,Elijah Moore,NYJ,WR,22,12,7,0,0,0,0,0,4,2,0.50,0,52,28,351,12.54,1,0,0,1,,,41,69.3,72.3,55.3,,85,

218,Kalif Raymond,DET,WR,28,13,5,0,0,0,0,0,5,24,4.80,0,48,34,401,11.79,0,3,1,0,,,41,74.5,78.5,57.5,,89,

219,Rashid Shaheed,NOR,WR,24,8,2,0,0,0,0,0,3,50,16.67,1,15,12,239,19.92,1,1,0,2,,,41,52.9,55.9,46.9,,87,

220,Jamal Agnew,JAX,WR,27,11,0,0,0,0,0,0,7,40,5.71,0,24,18,155,8.61,3,0,0,3,1,,40,57.5,60.5,48.5,,91,

221,Jauan Jennings,SFO,WR,25,13,2,0,0,0,0,0,0,0,,0,48,30,339,11.30,1,1,0,1,,,40,69.9,72.9,54.9,,90,

222,Rashod Bateman,BAL,WR,23,6,5,0,0,0,0,0,0,0,,0,28,15,285,19.00,2,1,1,2,,,39,53.5,57.5,46.0,,93,

223,Equanimeous St. Brown,CHI,WR,26,13,13,0,0,0,0,0,6,54,9.00,0,33,17,280,16.47,1,1,0,1,,,39,56.4,59.4,47.9,,92,

224,P.J. Walker,CAR,QB,27,6,5,63,106,731,3,3,6,39,6.50,0,0,0,0,,0,0,0,0,,,39,39.1,45.1,42.1,,40,

225,Jelani Woods,IND,TE,24,11,0,0,0,0,0,0,0,0,,0,26,17,205,12.06,3,1,0,3,,,39,55.5,58.5,47.0,,31,

226,Bailey Zappe,NWE,QB,23,4,2,65,92,781,5,3,10,0,0.00,0,1,1,-6,-6.00,0,4,3,0,,,39,39.6,48.6,42.1,,41,

227,Daniel Bellinger,NYG,TE,22,9,8,0,0,0,0,0,1,2,2.00,1,26,24,195,8.13,2,0,0,3,,,38,61.7,64.7,49.7,,32,

228,Laviska Shenault Jr.,CAR,WR,24,9,1,0,0,0,0,0,7,57,8.14,1,24,21,198,9.43,1,0,0,2,,,38,58.5,61.5,48.0,,94,

